source_term,target_term,n_fired,n_helped,n_hurt,n_neutral,net_chrf_delta,avg_chrf_delta,example_file,example_idx,example_source,example_raw,example_final
कार्बोफ्युरॉन,कार्बोफ्युरान,6,0,6,0,-38.816,-6.4694,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,90,रोपवाटिकेम पेरणीनंतर १५ दिहाकी हेक्टरी ३% दाणेदार कार्बोफ्युरॉन १६.५ किलो किंवा १५ किलो क्विनॉलफॉस (५%) यापैकी केलो बी एका दाणेदार कीटकनाशका वापर केरूलो,रोपवाटिकेत पेरणीनंतर १५ दिवसांनी हेक्टरी ३% दाणेदार कार्बोफ्युरॉन १६.५ किलो किंवा १५ किलो क्विनॉलफॉस (५%) यापैकी कोणत्याही एका दाणेदार कीटकनाशकाचा वापर करावा.,रोपवाटिकेत पेरणीनंतर १५ दिवसांनी हेक्टरी ३% कण कार्बोफ्युरान १६.५ किलो किंवा १५ किलो क्विनॉलफॉस (५%) यापैकी कोणत्याही एका कण कीटकनाशकाचा वापर करावा.
तणनाशके,खोड मारूलो दावो,6,0,6,0,-36.277,-6.0462,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,322,"6. कीटकनाशके व तणनाशके द्रवरूप खतात मिसळून दिल्याने मजूर, यंत्रसामग्री व पर्यायाने आर्थिक बचत होते.","6. कीटकनाशके आन तणनाशके द्रवरूप खोताम बेडीन देदो हाती मजूर, यंत्रसामग्री आन पर्यायाकी आर्थिक बचत वेहे.","6. किड़े मानू दावो आन खोड मारूलो दावो द्रवरूप खोताम बेडीन देदो हाती मजूर, यंत्रसामग्री आन पर्यायाकी आर्थिक बचत वेहे."
बियाणे,बियारो,20,8,12,0,-36.105,-1.8052,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,697,अभिवृध्दी : बियांपासून रोपे करून. हेक्टरी बियाणे : ७५० ते १२५० ग्रॅम,अभिवृध्दी : बियांकी रोप बनवूनू . हेक्टरी बियाणे : ७५० ते १२५० ग्रॅम,अभिवृध्दी : बियांकी रोप बनवूनू . हेक्टरी बियारो : ७५० ते १२५० ग्राम
सांगाडा,कंकाल स्नायू,6,0,6,0,-33.928,-5.6547,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,233,"सांगाडा तुयार केतांना कमीत कोमी लाकडा नायता लोखंडा वापर केनु, याके प्रकाश किरण अडविली जाय नाय या काळजी लेवनु.","सांगाडा तयार करतांना कमीत कमी लाकडाचा किंवा लोखंडाचा वापर करावा, जेणेकरून प्रकाश किरण अडविले जातील याची काळजी घ्यावी.","कंकाल स्नायू तयार करतांना कमीत कमी लाकडाचा किंवा लोखंडाचा वापर करावा, जेणेकरून प्रकाश किरण अडविले जातील याची काळजी घ्यावी."
पाझर तलाव,पांय मुरनू टाकी,6,0,6,0,-32.933,-5.4889,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,148,"१) पाझर तलाव : जेथे भूस्तरीय परिस्थिती पाणी पाझरास उपयुक्त आहे अशा ठिकाणी नाल्यात किंवा नाल्याच्या शेजारी तलाव खोदून, बंधारा बांधून त्यात पावसाचे पाणी साठवावे.","१) पाझर तलाव : जिहीं भूस्तरीय परिस्थिती पाइ पाझरास उपयुक्त हाय एहेंडी ठिकाणी नाला नायता नाला पाही तलाव खोदिन, बंधारा बांधीन तियांम पांया पाइ साठवणूक केनू.","१) पांय मुरनू टाकी : जिहीं भूस्तरीय परिचिती पाइ पाझरास उपयुक्त हाय एहेंडी ठिकाणी नाला नायता नाला पाही तलाव खोदिन, चेक डॅम बांधीन तियांम पांया पाइ साठवणूक केनू."
हिरडा,हरिताकी,6,0,6,0,-32.443,-5.4072,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,50,"यापैकी हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा यांची फळे मिळतील.","यामाने हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा या फळे मिली.","यामाने हरिताकी, बेडो, बिब्बा, रिंगण, जांम्बें, मोहा या फळे मिली."
बेहडा,बेडो,6,0,6,0,-32.443,-5.4072,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,50,"यापैकी हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा यांची फळे मिळतील.","यामाने हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा या फळे मिली.","यामाने हरिताकी, बेडो, बिब्बा, रिंगण, जांम्बें, मोहा या फळे मिली."
रिठा,रिंगण,6,0,6,0,-32.443,-5.4072,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,50,"यापैकी हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा यांची फळे मिळतील.","यामाने हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा या फळे मिली.","यामाने हरिताकी, बेडो, बिब्बा, रिंगण, जांम्बें, मोहा या फळे मिली."
जांभूळ,जांम्बें,6,0,6,0,-32.443,-5.4072,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,50,"यापैकी हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा यांची फळे मिळतील.","यामाने हिरडा, बेहडा, बिब्बा, रिठा, जांभूळ, मोहा या फळे मिली.","यामाने हरिताकी, बेडो, बिब्बा, रिंगण, जांम्बें, मोहा या फळे मिली."
बोंड,कवठ,11,0,11,0,-32.195,-2.9269,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,250,"सर्वेक्षण: पाने अन फुले अवस्थाम किमान दर आठवडाम खेता प्रतिनिधित्व केरूलंन 20 चाडे निवडून तियावने एकूण रोग पडले फुले( डोमकळ्या) पाते,बोंडे, गोडीन 5 ते 20 टक्के कीडग्रस्थ प्रमाण रोहयो तर पेहेलों बोंड अवस्था 20 नीले बोडे तोडिन (प्रत्येक चाडव एक या प्रमाणे)5 ते 10 टक्के बोंडे किंव्हा 20 पैकी बेन बोंडंम गुलाबी /उजली ओली सापडी ताहा अर्थीक नुकसान पातळी होमजिन कीटक नाशक वापर केनू.","सर्वेक्षण: पाने व फुले अवस्थेत किमान दर आठवड्याला शेताचे प्रतिनिधित्व करणारी २० झाडे निवडून त्यावरील एकूण रोगट फुले (डोमकळ्या), पाते, बोंडे ५ ते २० टक्के कीडग्रस्त आढळल्यास पहिली बोंड अवस्था २० हिरवी बोंडे तोडून (प्रत्येक झाडास एक या प्रमाणे) ५ ते १० टक्के बोंडे किंवा २० पैकी दोन बोंडात गुलाबी / पांढरी अळी सापडल्यास अर्थीक नुकसान पातळीचे लक्षण समजून कीटकनाशकाचा वापर करावा.","सर्वेक्षण: पाने व फुलांचा झुबका अवस्थेत किमान दर आठवड्याला शेताचे प्रतिनिधित्व करणारी २० झाडे निवडून त्यावरील एकूण रोगट फुलांचा झुबका (डोमकळ्या), पाते, कवठे ५ ते २० टक्के कीडग्रस्त आढळल्यास पहिली कवठ अवस्था २० हिरवी कवठे तोडून (प्रत्येक झाडास एक या प्रमाणे) ५ ते १० टक्के कवठे किंवा २० पैकी दोन कवठात गुलाबी / पांढरी अळी सापडल्यास अर्थीक नुकसान पातळीचे लक्षण समजून कीटकनाशकाचा वापर करावा."
गर,दाणे,12,0,12,0,-32.098,-2.6748,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,800,"प्रक्रियेम प्राथमिक, माध्यमिक व उच्चप्रक्रिया ऐहडा स्तर रेताहा. प्राथमिक स्वरुपा प्रक्रि येकी (सफाई, वर्गवारी, पॅकिंग, साठवण, वाहतूक, गर किंवा रस काडूलो इ.) ३०-३५ टक्के मूल्यवर्धन वेहे.","प्रक्रियेमध्ये प्राथमिक, माध्यमिक व उच्चप्रक्रिया असे स्तर असतात. प्राथमिक स्वरूपाच्या प्रक्रियेद्वारे (सफाई, वर्गवारी, पॅकिंग, साठवण, वाहतूक, गर किंवा रस काढणे इत्यादी) ३०-३५ टक्के मूल्यवर्धन होते.","प्रक्रियेमध्ये प्राथमिक, माध्यमिक व उच्चप्रक्रिया असे स्तर असतात. प्राथमिक स्वरूपाच्या प्रक्रियेद्वारे (सफाई, वर्गवारी, पॅकिंग, साठवण, वाहतूक, दाणे किंवा रस काढणे इत्यादी) ३०-३५ टक्के मूल्यवर्धन होते."
सूक्ष्म अन्नद्रव्ये,खूब कमी प्रमाणाम घटक,4,0,4,0,-31.019,-7.7547,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,721,या योजनेतून शेतकऱ्यांना कीटकनाशके आणि झिंक सल्फेट सारखी सूक्ष्म अन्नद्रव्ये खरेदी करण्यासाठी ५० टक्के सवलत मिळते.,या योजनामने शेतकऱ्यांहान कीटकनाशके आन झिंक सल्फेट सारखे सूक्ष्म अन्नद्रव्ये खरेदी केराखातोर ५० टक्के सवलत मिलेहे.,या योजनामने शेतकऱ्यांहान किड़े मानू दावो आन झिंक सल्फेट सारखे खूब कमी प्रमाणाम घटक खरेदी केराखातोर ५० टक्के सवलत मिलेहे.
काल,दुष्काळ,6,0,6,0,-30.892,-5.1487,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,574,"ओ हिजवुनु काल कमी केरा खातोर कुलथी (हुलगा), मटकी इयारोक्या कडधान्ये पेले पायाम रातपोय पिजवी थोवनु आन फाचे हिजवुनु.","हा शिजण्याचा कालावधी कमी करण्यासाठी कुलथी (हुलगा), मटकी यांसारख्या कडधान्ये प्रथम पाण्यात रात्रभर भिजत ठेवावीत व नंतर शिजवावी.","हा शिजण्याचा दुष्काळावधी कमी करण्यासाठी कुलथी (हुलगा), मटकी यांसारख्या कडधान्ये प्रथम पाण्यात रात्रभर भिजत ठेवावीत व नंतर शिजवावी."
दही,खाटों दुद,6,0,6,0,-30.326,-5.0544,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,601,विरजणाकरिता आदल्या दिवशीचे ताक किंवा दही यांचा वापर करावा. विरजण नीट दुधात मिसळावे.,विरजणाकेता आगला दिह्या ताक नायता दही यां वापर केनू. विरजण नीट दुधाम मिक्स केनू.,विरजणाकेता आगला दिह्या ताक नायता खाटों दुद यां वापर केनू. विरजण नीट दुधाम मिक्स केनू.
आंतरमशागत,आंतरसांस्कृतिक कार्य,6,0,6,0,-30.203,-5.0339,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,565,आंतरमशागत: पेरणीनंतर १० ते १५ दिवसांनी विरळणी करून एका ठिकाणी एकच रोप ठेवावे.,आंतरमशागत: पोणी नंतर 10 ते 15 दिहुम विरळणी कीन योक ठिकाणी योक रोप ठेवुलो.,आंतरसांस्कृतिक कार्य: पोणी नंतर 10 ते 15 दिहुम विरळणी कीन योक ठिकाणी योक रोपे ठेवुलो.
मटकी,मोठ,6,0,6,0,-29.741,-4.9568,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,574,"हा शिजविण्याचा कालावधी कमी करण्यासाठी कुलथी (हुलगा), मटकी यासारखी कडधान्ये अगोदर पाण्यात रात्रभर भिजत ठेवतात व नंतर शिजवितात.","ओ चुडवुलो दिही कोमी केरा खातूर कुलथा (हुलगा), मटकी इयाहोच कोडधान्ये पेला पायुम रातपोयी पिगवी थोवतेह आण पासला चुडवुतेह.","ओ चुडवुलो दिही कोमी केरा खातूर कुलथा (मुग), मोठ इयाहोच कोडधान्ये पेला पायुम रातपोयी पिगवी थोवतेह आण पासला चुडवुतेह."
वखरणी,खोडकाडनूं,2,0,2,0,-29.302,-14.651,output/rudra-bhili-translate/generations/mar2bhb/ckp_18400_beam/mar2bhb_predictions.jsonl,808,तसेच दोन झाडाच्या ओळीत वखरणी करावी.,तेहकीज बेन चाडा ओळीम वखरणी केनू.,तेहकीज बेन चाडा ओळीम खोडकाडनूं केनू.
फॉगर,फोगर,6,0,6,0,-29.066,-4.8443,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,918,"या तंत्राने चारा उत्पादनासाठी ५० ते ७५ टक्के क्षमतेचे शेडनेट, फॉगर सिस्टीम, टाईमर, प्लास्टिक ट्रे इ. साधनांची गरज असते.","या तंत्रज्ञान चारा उत्पादनाहाठी ५० ते ७५ टक्के शेडनेट, फॉगर सिस्टीम, टाईमर, प्लास्टिक ट्रे इ. साधनांहा गरज रेहे","या तंत्रज्ञान चारा उत्पादनाहाठी ५० ते ७५ टक्के शेडनेट, फोगर सिस्टीम, टाईमर, प्लास्टिक ट्रे इ. साधनांहा गरज रेहे"
बंधारा,चेक डॅम,6,0,6,0,-28.098,-4.6829,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,148,"१) पाझर तलाव : जेथे भूस्तरीय परिस्थिती पाणी पाझरास उपयुक्त आहे अशा ठिकाणी नाल्यात किंवा नाल्याच्या शेजारी तलाव खोदून, बंधारा बांधून त्यात पावसाचे पाणी साठवावे.","१) पाझर तलाव : जिहीं भूस्तरीय परिस्थिती पाइ पाझरास उपयुक्त हाय एहेंडी ठिकाणी नाला नायता नाला पाही तलाव खोदिन, बंधारा बांधीन तियांम पांया पाइ साठवणूक केनू.","१) पांय मुरनू टाकी : जिहीं भूस्तरीय परिचिती पाइ पाझरास उपयुक्त हाय एहेंडी ठिकाणी नाला नायता नाला पाही तलाव खोदिन, चेक डॅम बांधीन तियांम पांया पाइ साठवणूक केनू."
जात,जाती,13,0,13,0,-27.923,-2.1479,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,307,कातडी मऊ असल्याने भारतात आणि परदेशामध्ये तिला फार मोठ्या प्रमाणात मागणी आहे. ही जात एका वेतात दोन किंवा तीन पिल्लांना जन्म देते.,चामडी नरम रेहे तीयाल भारताम आणे परदेशाम तियाल वाद मागणी रेहे. ई जात एक वेताम बेन नायता तीन पिलकाहाल जन्म देहे.,चामडी नरम रेहे तीयाल भारताम आणे परदेशाम तियाल वाद मागणी रेहे. ई जाती एक वेताम बेन नायता तीन पिलकाहाल जन्म देहे.
किडे,कीटक,7,0,7,0,-27.467,-3.9238,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,709,"ओहडा प्रकारामेने उखाडणा मासाहप किडे, माकडे, बीजी बीजी जाती देखायेत नाय.","अशा प्रकारातील उखाडलेल्या माशांवर किडे, माशांवर माशा, इतर कोणताही प्रकार दिसून येत नाही.","अशा प्रकारातील उखाडलेल्या माशांवर कीटक, माशांवर माशा, इतर कोणताही प्रकार दिसून येत नाही."
विरोध,निषेध,6,0,6,0,-26.711,-4.4518,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,467,विस्थापित माहू कोडता भरपाई प्रस्तावा प वाद निर्माण वेयो आन 1974 साली मे विरोध सुरू हाय एन तोयो तो चालुज हाय.,विस्थापित लोकांच्या घरबांधणी भरपाईच्या प्रस्तावावरून वाद निर्माण झाला आणि १९७४ साली सुरू झालेला विरोध अजूनही सुरू आहे.,विस्थापित लोकांच्या घरबांधणी भरपाईच्या प्रस्तावावरून वाद निर्माण झाला आणि १९७४ साली सुरू झालेला निषेध अजूनही सुरू आहे.
परोपजीवी,परजीवी,6,0,6,0,-26.702,-4.4503,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,284,३) परोपजीवी जंतांचा प्रादुर्भाव टाळण्यासाठी २ ते ३ महिन्याच्या अंतराने जंतुनाशक औषध पाजावे.,३) परोपजीवी जंतहां प्रादुर्भाव टालाकेता २ ते ३ मोयना अंतराकी जंतुनाशक औषध पाजनु.,३) परजीवी जंतहां प्रादुर्भाव टालाकेता २ ते ३ मोयना अंतराकी जंतुनाशक औषध पाजनु.
कीड नियंत्रण,किड नियंत्रण,6,0,6,0,-26.57,-4.4283,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,577,व्यवस्थापनासाठी मेटॉरीझम अॅनीसोपली ही प्रजाती प्रभावीपणे कीड नियंत्रण करते असे आढळून आले आहे.,व्यवस्थापनाखातर मेटॉरीझम अॅनीसोपली ही प्रजाती प्रभावीपणे कीड नियंत्रण केहे एहके आढळून आले हाय,व्यवस्थापनाखातर मेटॉरीझम अॅनीसोपली ही जाती प्रभावीपणे किड नियंत्रण केहे एहके आढळून आले हाय
गाजर,गाजरे,12,0,12,0,-25.789,-2.1491,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,853,"मेक्सिकन भुंग्याचाद्वारे गाजर निर्मुलन करण्याच्या मोहीमेची सुरुवात करण्यात यावी, अशी","मेक्सिकन भुंग्याचाद्वारे गाजर निर्मूलन करण्याच्या मोहिमा सुरुवात केणूम आवी, अशी","मेक्सिकन भुंग्याचाद्वारे गाजरे निर्मूलन करण्याच्या मोहिमा सुरुवात केणूम आवी, अशी"
जीवामृत,जीवमृत,6,0,6,0,-25.326,-4.221,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,351,मिरची पिकातील मावा कीड नियंत्रणासाठी जीवामृत आणि दशपर्णी अर्क यांचा नियमित वापर फायदेशीर ठरतो.,मिरची पिकावेने मावा कीड नियंत्रणाकेता जीवामृत आन दशपर्णी अर्क इयाहा नियमित वापर फायदेशीर रेहे.,मिरची पिकावेने मावा किड नियंत्रणाकेता जीवमृत आन दशपर्णी अर्क इयाहा नियमित वापर फायदेशीर रेहे.
भेट,कलम सांधने,6,0,6,0,-24.919,-4.1532,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,666,तुमा जिया क्षेत्राल भेट देताहा तिया क्षेत्रा कल तुमा केल्ला भागामेने आहाय तियापेक्षा ओलोग रेवनुबि शक्यता आहाय आन तुमाहाल अनन्य आन निवडक वोस्तु मिली सेकेहे.,तुम्ही ज्या क्षेत्राला भेट देता त्या क्षेत्राचा कल तुम्ही कोणत्या भागातून आहात त्यापेक्षा वेगळा असण्याचीही शक्यता आहे आणि तुम्हाला अनन्य आणि निवडक वस्तू मिळू शकतात.,तुम्ही ज्या क्षेत्राला कलम सांधने देता त्या क्षेत्राचा कल तुम्ही कोणत्या भागातून आहात त्यापेक्षा वेगळा असण्याचीही शक्यता आहे आणि तुम्हाला अनन्य आणि निवडक वस्तू मिळू शकतात.
मूग,मुग,19,12,6,1,-24.902,-1.3106,output/rudra-bhili-translate/generations/bhb2mar/ckp_33600_beam/bhb2mar_predictions.jsonl,883,राष्ट्रीय अन्न सुरक्षा अभियाना अंतगुर्म मोंगा म्हणजे मूग पिका बियारा ५o टक्के अनुदान दि रियेहे .,राष्ट्रीय अन्न सुरक्षा अभियानांतर्गत मोंगा म्हणजे मूग पिकाच्या बियाणांवर ५० टक्के अनुदान दिले जाते.,राष्ट्रीय अन्न सुरक्षा अभियानांतर्गत मोंगा म्हणजे मुग पिकाच्या बियाणांवर ५० टक्के अनुदान दिले जाते.
दूध उत्पादन,दूद उत्पादन,6,0,6,0,-24.71,-4.1183,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,826,परंतु दूध उत्पादन करणाध्या शेतकध्यांना एक प्रश्न भेडसावीत असतो आणि तो म्हणजे दूध काढल्यानंतर ते शहराकडे वाहतूक होईपर्यंत चांगल्या अवस्थेत टिकवणे.,पेन दूध उत्पादन केणाऱ्या शेतकऱ्यान एक प्रश्न आव्हे तो म्हणजे दूध काढीन फाचे तो शहरा हुग वाहतूक वी पर्यंत हारो रेका नाई .,पेन दूद उत्पादन केणाऱ्या शेतकऱ्यान एक प्रश्न आव्हे तो म्हणजे दूध काढीन फाचे तो शहरा हुग वाहतूक वी पर्यंत हारो रेका नाई .
प्रकाश,उजवाडं,14,2,12,0,-24.451,-1.7465,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,570,"२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आणि मानवी शक्तीचा वापर करून किडींना मारणे किंवा किडींना खाद्यापर्यंत पोहचू न देणे, याला यांत्रिक पध्दती म्हणतात. उदा. हाताने किडी जमा करणे, कीडग्रस्त भाग नष्ट करणे, जाळीने किडी पकडणे, प्रकाश सापळे, कामगंध सापळे, धान्य चाळणे, चिकट सापळे, खोडाभोवती चिकट पदार्थ किंवा पत्रा लावणे, शेताभोवती चर खोदणे, फळांना झाकणे, धूर करणे, आग निर्माण करणारे यंत्र, पक्षांना हाकलण्यासाठीचे यंत्र.","२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आन मानवी शक्ती वापर किन किडींन मारलो किंवा किडींन खाद्यापर्यंत पोहचू नाय देवनु, इयाल यांत्रिक पध्दती आखतेहे. उदा. हाताने किडी जमा केनु, कीडग्रस्त भाग नष्ट केनु, जाळीने किडी तेनु, प्रकाश सापळे, कामगंध सापळे, धान्य चाळनु, चिकट सापळे, खोडाभोवती चिकट पदार्थ किंवा पत्रा लागवूनु, खेताभोवती चर खोदिन, फळांन झाकनु, तुर काढनु, आग निर्माण केनारो यंत्र, पक्षांन हाकलूनु यंत्र.","२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आन मानवी शक्ती वापर किन किडे मारुलोंन मारलो किंवा किडे मारुलोंन खाद्यापर्यंत पोहचू नाय देवनु, इयाल यांत्रिक पध्दती आखतेहे. उदा. हाताने किडे मारुलो जमा केनु, कीडग्रस्त भाग नष्ट केनु, जाळीने किडे मारुलो तेनु, उजवाडं सापळा, कामगंध सापळा, धान्य चाळनु, चिकट सापळा, खोडाभोवती चिकट पदार्थ किंवा पत्रा लागवूनु, खेताभोवती चर खोदिन, फळांन झाकनु, तुर काढनु, आग निर्माण केनारो यंत्र, पक्षांन हाकलूनु यंत्र."
कापणी,काढणी,3,0,3,0,-24.285,-8.0949,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,234,त्यामुळे कापणी वेळेवर करावी.,त्याहाटी कापणी टायमाव कोअना,त्याहाटी काढणी टायमाव कोअना
भुईमूग,हेंग्या,12,7,5,0,-23.996,-1.9997,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,647,"भुईमूगावरील टिक्का व तांबेरा रांगांचे अत्यंत सोप्या व घरगुती व बिनखर्चाच्या उपायांनी नियंत्रण करण्याचे तंत्र राष्ट्रीय भुईमूग संशोधन केंद्र, जुनागड यांनी विकसित केले आहे.","हेगीपेरी टिक्का व तांबेरा रांगां अत्यंत सोप्या व घरगुती व बिनखर्चाच्या उपायांकी नियंत्रण के नु तंत्र राष्ट्रीय भुईमूग संशोधन केंद्र, जुनागड यांहाय विकसित केलो हाय","हेगीपेरी टिक्का व तांबेरा रांगां अत्यंत सोप्या व घरगुती व बिनखर्चाच्या उपायांकी नियंत्रण के नु तंत्र राष्ट्रीय हेंग्या संशोधन केंद्र, जुनागड यांहाय विकसित केलो हाय"
प्रतवारी,ग्रेडिंग,12,0,11,1,-23.904,-1.992,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,355,"आकार, रंग तसेच पूर्ण काजूगर, दुभंगलेले काजूगर, काजूगराचे तुकडे अशी प्रतवारी अजूनही हाताने करतात. काजू निर्यात वृद्धी (कॅश्यु एक्सपोर्ट प्रमोशन कौन्सिल) काजूगराची प्रतवारी २४ प्रतींमध्ये करतात. काजूगराचा आकार आणि बाह्य गुणवत्तेनुसार मुख्यत्वे, बार प्रती (ग्रेडस्) आहेत.","आकार, रंग तेहकीज पुरा काजूगर, बार कि आले काजूगर, काजूगरा तुकडा एहकी प्रतवारी आजीबी एठाआ केतेहे. काजू निर्यात वृद्धी (कॅश्यु एक्सपोर्ट प्रमोशन कौन्सिल) काजूगरा प्रतवारी २४ प्रतींमे कोतेहे. काजूगरा आकार आण बार गुणवत्तेनुसार मुख्यत्वे, बार प्रती (ग्रेडस्) हेते.","आकार, रंग तेहकीज पुरा काजूगर, बार कि आले काजूगर, काजूगरा तुकडा एहकी ग्रेडिंग आजीबी एठाआ केतेहे. काजू मोकलावनू वृद्धी (कॅश्यु एक्सपोर्ट प्रमोशन कौन्सिल) काजूगरा ग्रेडिंग २४ प्रतींमे कोतेहे. काजूगरा आकार आण बार गुणवत्तेनुसार मुख्यत्वे, बार प्रती (ग्रेडस्) हेते."
किडी,किडे मारुलो,15,0,15,0,-23.645,-1.5764,output/rudra-bhili-translate/generations/mar2bhb/ckp_33600_beam/mar2bhb_predictions.jsonl,570,"२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आणि मानवी शक्तीचा वापर करून किडींना मारणे किंवा किडींना खाद्यापर्यंत पोहचू न देणे, याला यांत्रिक पध्दती म्हणतात. उदा. हाताने किडी जमा करणे, कीडग्रस्त भाग नष्ट करणे, जाळीने किडी पकडणे, प्रकाश सापळे, कामगंध सापळे, धान्य चाळणे, चिकट सापळे, खोडाभोवती चिकट पदार्थ किंवा पत्रा लावणे, शेताभोवती चर खोदणे, फळांना झाकणे, धूर करणे, आग निर्माण करणारे यंत्र, पक्षांना हाकलण्यासाठीचे यंत्र.","२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आन मानवी शक्ती वापर किन किडींन मारलो किंवा किडींन खाद्यापर्यंत पोहचू नाय देवनु, इयाल यांत्रिक पध्दती आखतेहे. उदा. हाताने किडी जमा केनु, कीडग्रस्त भाग नष्ट केनु, जाळीने किडी तेनु, प्रकाश सापळे, कामगंध सापळे, धान्य चाळनु, चिकट सापळे, खोडाभोवती चिकट पदार्थ किंवा पत्रा लागवूनु, खेताभोवती चर खोदिन, फळांन झाकनु, तुर काढनु, आग निर्माण केनारो यंत्र, पक्षांन हाकलूनु यंत्र.","२. यांत्रिक पध्दती विविध यंत्र किंवा उपकरणे आन मानवी शक्ती वापर किन किडे मारुलोंन मारलो किंवा किडे मारुलोंन खाद्यापर्यंत पोहचू नाय देवनु, इयाल यांत्रिक पध्दती आखतेहे. उदा. हाताने किडे मारुलो जमा केनु, कीडग्रस्त भाग नष्ट केनु, जाळीने किडे मारुलो तेनु, उजवाडं सापळा, कामगंध सापळा, धान्य चाळनु, चिकट सापळा, खोडाभोवती चिकट पदार्थ किंवा पत्रा लागवूनु, खेताभोवती चर खोदिन, फळांन झाकनु, तुर काढनु, आग निर्माण केनारो यंत्र, पक्षांन हाकलूनु यंत्र."
